,text,user
103,"@realDonaldTrump @TuckerCarlson WSJ DEBUNKED BIDEN CORRUPTION STORY Can't run on your failed record, huh. Just pack… https://t.co/Xt29mo03bg",TawandaNozama
104,@realDonaldTrump https://t.co/TtbUipdIKh,ATC01204068
105,"@realDonaldTrump @TuckerCarlson It's not true that's why....Sorry Demented Don, that your bag of tricks isn't worki… https://t.co/BEAlyvejnb",tmora571
106,@realDonaldTrump https://t.co/ta4DI7CAjg,bigmouthpol
107,@realDonaldTrump CCN=Covid News Network,cpapennewell
108,@realDonaldTrump @TuckerCarlson WHY CAN'T I LIE WITH IMPUNITY?,geoffwilton2
109,@realDonaldTrump @TuckerCarlson #Trump2020  #Bobulinski  #MSMIsTheEnemyOfThePeople,robert_judy704
110,@realDonaldTrump @TuckerCarlson #TuckerCarlson did an excellent job last night with his interview!  #Trump2020Landslide,janineannsnyder
111,"RT @TheDailyEdge: @realDonaldTrump @TuckerCarlson It's amazing! The real ""Hunter"" scandal: https://t.co/R5ZNyKRWIZ",abusaqer
112,@realDonaldTrump @TuckerCarlson So. Much. Censorship.  https://t.co/1cfR5FBJyA,dvillella
113,@realDonaldTrump https://t.co/NomGYltyfB,CuhFontes
114,@realDonaldTrump @TuckerCarlson its kind of sad that  a president is cutting down media for not tweeting lies god h… https://t.co/Ymd8YG45j1,Trumpdontcare2
115,"RT @wdunlap: @realDonaldTrump @TuckerCarlson Christine Blasey Ford: ""I have no witnesses, no details, and no evidence"" Media: ""Extremely Cr…",mamba19644067
116,@realDonaldTrump You still the president..till 2024 man ✌🏾,D7INNOCENT
117,@realDonaldTrump @TuckerCarlson https://t.co/2U04DKXIEo,Silvanarc
118,@realDonaldTrump @TuckerCarlson 😂🤡 https://t.co/ZSvLzM5rTE,SteCant
119,@realDonaldTrump @TuckerCarlson https://t.co/wBIPFVKoSc,OWB_SEC
120,RT @wisconsinvotes1: @realDonaldTrump As you flew away in your private helicopter https://t.co/6iaAhy4L6s,sharnettereese1
121,@realDonaldTrump Smartest and most brilliant president this country has ever had or seen period and your gonna have… https://t.co/dQES8wHrjd,ChadRay98666042
122,"@realDonaldTrump Lol, that dramatic music in the background as if this message is something of any importance! 😂😂😂",hagsvilleUSA
123,"@realDonaldTrump @TuckerCarlson Yes and you know they control what people see. If you’re a Trump supporter,you see… https://t.co/2sdviIDLHc",Kathie46725980
