,text,user
117,@JoeBiden The difference between a good president and a POS  “ WE instead of ME” praying for you Mr Biden 🙏 #VoteBlueToSaveAmerica,IBrittanybish
118,@JoeBiden #BidenCrimeSyndicate  #BidenCriminalFamily  #TrumpRallyOmaha  #Trump2020NowMoreThanEver  #VoteRed… https://t.co/ITARl6D6qd,trulyindianms
119,RT @BradleyWhitford: @JoeBiden’s not gonna leave anyone out in the cold.,DODonnell1992
120,"@JoeBiden Dad, u must remember bring up this #BLM Otherwise ppl will start think of dementia...NOT GOOD https://t.co/qHkUcXxMb5",MrQ56156943
121,"@JoeBiden People shouldn't put faith in Joe Biden or Donald Trump, but in Jesus.",ArielMller5
122,@JoeBiden https://t.co/THbTTJL3AD,PamelaDrew
123,"@JoeBiden If the Jews in the world do not light the fire of sedition,no one will have anything to do with them،You… https://t.co/X0xB5KpAkD",C5XQzpE8ytD8TEY
124,RT @ScottPresler: @JoeBiden Ask your supporters to stop destroying Philly.   How does looting businesses meant for the black community   he…,smmarrujo
125,@JoeBiden Done https://t.co/V0ov1tfK1H,KaplanNicole
126,@JoeBiden He says he has to he ability to get the virus under control-?if he has the ability why can’t he be noble… https://t.co/Bx5KBG7UuX,Dori29150488
127,@JoeBiden YES,bentley_zoey
128,"RT @Itasanders: @JoeBiden 225,000+ Americans were alive when Biden posted this one year ago today. Bush and then Obama had worked on pandem…",hamdakkhann
129,@JoeBiden Modero says that Australia has a cure for COVID.,George42263498
130,@JoeBiden Meh.,Vinnymum03
131,RT @BradleyWhitford: @JoeBiden’s not gonna leave anyone out in the cold.,techlady56
132,@JoeBiden Biden stays silent on Bobulinski claims about family's business ventures,FosterGrant17
133,@JoeBiden Your reputation is on the line. Your son's reputation is out of line. Your brother's reputation has crossed the red line.,johnnyyong
134,@JoeBiden,WinchellMartha
135,@JoeBiden Duh. What have you done? Nothing but run your mouth,Lloyd40247992
136,RT @Weinsteinlaw: @JoeBiden Losing this election is not an option.   Donate to @JoeBiden  https://t.co/HDrx16ckU5,Sharon_McLeod
137,"@JoeBiden What is your path mister Bidden? Show your path with all salutions for the virus, economy problems and th… https://t.co/6bTk1Q4m4m",JoepMel05393559
138,@JoeBiden https://t.co/HRrDcQo7AU,BronxBomber9
139,@JoeBiden Ask your supporters to stop destroying Philly.   How does looting businesses meant for the black community   help black lives?,ScottPresler
140,@JoeBiden is compromised...,Alumni_2008
141,@JoeBiden Biden stays silent on Bobulinski claims about family's business ventures,FosterGrant17
142,"RT @GuelfiJohn: @JoeBiden will tell us the truth and he will do the right thing for all Americans . After the last 4 years , that's good en…",peacekeeper09
143,"@JoeBiden Surely, we shall conquer. Every US citizens are like Eagle who have no fear of adversity. And we all real… https://t.co/FkAjvy4OHA",Officialbabar3
144,@JoeBiden You can't even conquer a Chinese finger trap let alone a Chinese virus,boy79
145,@JoeBiden Your plan is no plan.,JohnMadry
146,@JoeBiden @Mani_Virk1 💙💙💙💙💙 6 days.... #TurnTexasBlue,LWitchgirl
147,@JoeBiden https://t.co/mjzpjBNSJg,ChavidRB
148,@JoeBiden Can you stop lying please,jewsfortrump20
149,@JoeBiden ya know it really would be a good statement if you actually had written it,StephenMMaloy
150,@JoeBiden Biden stays silent on Bobulinski claims about family's business ventures,FosterGrant17
151,@JoeBiden It appears it is about lining your pockets!,lakers28239089
152,@JoeBiden #IVotedEarly,jontheresister
153,@JoeBiden https://t.co/BR0mIGOvfm,pirtlepigs
154,@JoeBiden The woman who was raped by Jacob Blake will certainly never forget his name,katstotler
155,@JoeBiden 60 million swine flu cases ring a 🛎,1JasonRodriguez
156,"@JoeBiden The only way we can beat this virus is with a new president. Please win this election, Joe! Our lives, he… https://t.co/tRTZI8ssMH",TheRealBaneGirl
157,"@JoeBiden Return your absentee ballot to a “drop box”, your county’s election office or a polling place. DO NOT TRU… https://t.co/VqM3gwUs0k",Angelia09077992
158,"@JoeBiden Already did, Joe! Voted BLUE for Kamala and you!",EverWitch
159,@JoeBiden https://t.co/tMtUYWfKdj,ChadWalker092
160,@JoeBiden The two Police officers lives matter too ! Biden and Kamala are a disgrace 💩,Selene79717116
161,@JoeBiden 😲 https://t.co/f1h5sDsNf7,JD_West2006
162,@JoeBiden Too late.  Too many lives lost.   Change is needed. All the best.🇺🇸,GraceChukwurah3
163,@JoeBiden The problem is that Donald Trump is a friend of the virus and thus cannot be beaten? We must be united against the coronavirus! 😷,jalaisan14
164,@JoeBiden @JoeBiden VOTED FOR YOU TODAY!  Let’s go do this!  Bring it home @JoeBiden and @KamalaHarris!  #VoteBidenHarrisToSaveAmerica,MamieGallegos
165,@JoeBiden Right now the Threat is coming from radical left BLM terrorists.,LarryHe34858155
166,@JoeBiden Jesus is coming soon and everyone will bow to Him.,JohnAnd28692892
167,@JoeBiden https://t.co/eDjK6xqHcx,TheRealLaFlama
168,RT @TheProtestFilms: @JoeBiden 6 Days! #answerthecall #VOTE ! https://t.co/Wx0X26arhu,ImprovedSoul_09
169,@JoeBiden Amen!,Christo88146088
170,@JoeBiden Joe we have known that for years. Give back the money from Russia and China. Trump 2020,Machine1Red
171,"@JoeBiden @G_Paknowsbest I chose Life over Death and With TRUMP as President is Sure #Death, Fuc him @JoeBiden",hankgiovano
172,@JoeBiden Quit plagiarizing Trump,CPEStevenson
173,@JoeBiden I worry that Trump’s policy of letting ppl die will be too far gone to reverse by January😰,lovetopianodc
174,"@JoeBiden 4-6 weeks away at any given point from tamping it down to barely anything, but only we take measures as a… https://t.co/TZid66Fcmm",JulieMAwesome
175,@JoeBiden wins our High School Mock election https://t.co/EOTNKe8wZm,isagenixmarti
176,@JoeBiden https://t.co/4hJN00znZI,ChadWalker092
177,@JoeBiden you're a globalist sell out. and now you're trying to extort the election,johannabanana87
178,@JoeBiden 🖕Eat coprolite.,BenTice3
179,@JoeBiden JOE IM PRAYING YOU BEAT ORANGE 45 🙏🙏🙏,Kano16741389
180,@JoeBiden you don’t care about this person. You are using this for political gain NOTHING MORE.   Once the publicit… https://t.co/EkmDk8nL4V,mackandmoe
181,@JoeBiden 6 days https://t.co/6lddyQq3pA,PatriciaMead11
182,@JoeBiden I’ll never choose socialism and the new progressive far left corrupt democrat party,GingerMarieAre
183,"RT @MarkoSilberhand: @JoeBiden People, not only in America, need hope and courage again.  #VoteBlueToEndThisNightmare     💙         💙…",1969Human
184,@JoeBiden When it's coming a virus from China to the world. It's has noting with trump and every thing on China. Le… https://t.co/ymG3oyEv4H,koko77940283
185,@JoeBiden Did for you so win!!!,Bruce32169
186,"@JoeBiden Human infection can defeat, but how to beat a mind virus? For example, how to prevent Hunter from leaking photo infection.",OpinionBlue
187,@JoeBiden Touched,nisaarahmad87
188,"@JoeBiden Not with Trump in charge, you can't.",ALTheophilus
189,@JoeBiden @realDonaldTrump Trump2020🇺🇸🇺🇸 MAGA https://t.co/Oku4RkEAOe,Glorious_Beards
190,"RT @JHTX77: @JoeBiden  I believe TONY #BOBULINSKI!!  Traitor: a person who betrays a friend, country, principle  @realDonaldTrump  #VoteRed…",Judy82036461
191,@JoeBiden 🇺🇸❤️,hwny_
192,@JoeBiden Amén 🙏,rob4liberty
