,Tweets
26,RT @TeamTrump: President @realDonaldTrump: We are giving you a great new Supreme Court Justice on Monday! https://t.co/6DeQCEIwff
27,Amazing! https://t.co/jQXxeQlovz
28,"THANK YOU NEW HAMPSHIRE!
https://t.co/XEoCm4v1M5"
29,"Congratulations to @SenRonJohnson for his dogged pursuit, as Chairman of Homeland, of POLITICAL CORRUPTION!"
30,"Have a GREAT “MAGA-GRAS” Rally today on our wonderful Long Island. Cut Taxes, Stop Crime, VOTE FOR TRUMP. Our City and State are a MESS. What do you have to lose? Thank you!!!"
31,"Pennsylvania Ballot “mistakes” made, in my opinion, on purpose by the Democrat Governor, puts Republicans, in particular @SeanParnellUSA, at great risk. Corrupt politics in Pennsylvania must be investigated immediately. By the way, Philadelphia is out of control. @TheJusticeDept"
32,"So important to VOTE for Republicans in the House. Break away from Pelosi and her high Taxing new Radical Left friends. Protect your 2nd Amendment, Military, Vets, and sooo much more!"
33,".@SeanParnellUSA is a bright star for Pennsylvania. Military, Vets, Low Taxes and your 2nd Amendment will be totally protected. His opponent is a weak and ineffective puppet for Pelosi and her new Radical Left friends. Vote for Sean Parnell!"
34,So true! https://t.co/obRV4tvaNo
35,"RT @RepMattGaetz: We don't build walls because we hate the people on the outside. 

We build walls because we love the people on the inside."
36,"RT @RepMattGaetz: Joe Biden said he couldn’t get anything done during his last eight years because he had a Republican Congress.

@realDona…"
37,RT @JoeShikhman: Incredible. The one public appearance Joe Biden does this weekend is a speech in Pennsylvania that immediately turns into…
38,RT @GovernorPerry: .@JoeBiden &amp; Barack Obama killed the coal industry and if elected he will come after oil &amp; gas! @realDonaldTrump is a ch…
39,"RT @JackPosobiec: Here is the Burisma email @TuckerCarlson referenced about 'closing down any cases.'

We need to bring the focus back to t…"
40,RT @seanmdav: Murkowski had hoped to preemptively nuke the SCOTUS nomination by playing games early in the process. But once it became clea…
41,"RT @SteveGuest: 👀👀 

Joe Biden brags about having “the most extensive and inclusive VOTER FRAUD organization in the history of American pol…"
42,"RT @mtaibbi: ""The least curious people in the country right now appear to be the credentialed news media, a situation normally unique to ti…"
43,"RT @SohrabAhmari: It's OK. The Post has weathered the vicissitudes of more than two centuries of American history. We will endure this, too…"
44,"RT @thejtlewis: Joe Biden: “We have put together the most extensive VOTER FRAUD organization in the history of American politics.”
 https:/…"
45,"RT @thejtlewis: Yes, I can. I lost my brother in the Sandy Hook shooting and it was President @realDonaldTrump who met with me, heard my st…"
46,"RT @thejtlewis: With the utmost respect, I thank President @realDonaldTrump for his leadership on the Federal School Safety Report, and for…"
47,RT @thejtlewis: Joe Biden is campaigning with a conspiracy theorist who questioned the legitimacy of the Sandy Hook shooting - the shooting…
48,RT @ArthurSchwartz: The metadata on the Biden family’s pitch materials to the Chinese Communist Party show that the doc was created on Jim…
49,https://t.co/gsFSghkmdM https://t.co/XB1XImsQlG
50,"WISCONSIN! #VOTE #MAGA 
https://t.co/wk0tCalKZ6"
51,"As long as I am President, I will always stand with the HEROES of Law Enforcement! Joe Biden won’t. https://t.co/DfutxOeRaN"
52,"RT @LeeSmithDC: Joe Biden &amp; surrogates are lying. On 2/2/16, Ukrainian prosecutor seizes property of Burisma owner, so he's clearly under i…"
53,"This is the most important election in the history of our Country. With your vote, we will continue to bring back your jobs, lower drug prices, support our police, protect the #2A, defend our borders, and ensure more products are proudly stamped with the phrase MADE IN THE USA! https://t.co/M0Ba8QR7Nl"
54,https://t.co/uF8BVW4WBV
55,https://t.co/Zwgbeynhy3
56,"THANK YOU WISCONSIN!
https://t.co/nOcUhuuNoF"
57,Law Enforcement is watching and involved. So dishonest! https://t.co/DNtRroA92X
58,RT @HeyTammyBruce: 😐
59,"RT @HeyTammyBruce: Crowd: We love you! We love you!
Trump: Thank you! 
Guy in Crowd: We really do! 
😂❤️🇺🇸"
60,...And a great show by @JesseBWatters tonight. Watched it on way from Ohio to Wisconsin! https://t.co/6OIpWIBpop
61,"RT @dbongino: Amen to that!
https://t.co/yRr4OagnTO"
62,RT @dbongino: THIS 👇🏻👇🏻
63,Landed in Wisconsin. BIG CROWD. On my way!
64,"Thank you OHIO! #VOTE
https://t.co/gsFSghkmdM https://t.co/oOzmfm8vCo"
65,What a terrible thing for Biden to say! Rigged Election? https://t.co/jQXxeQCZU9
66,"RT @TeamTrump: TONIGHT: Watch President @realDonaldTrump's Remarks from Waukesha, Wisconsin at 8:00 pm ET!

RSVP: https://t.co/5Fb0UaYEkN…"
67,RT @chefjclark: People ask why the President fights so hard in court for ballot integrity?  Why we have such an extensive Election Day Oper…
68,"RT @DanScavino: President @realDonaldTrump on his way to a massive #MAGA🇺🇸🦅rally in Circleville, Ohio. Absolutely unbelievable—OHIO is TRUM…"
69,https://t.co/ATipOZ0jYG
70,https://t.co/NBfIdXBEhp
71,https://t.co/lw739qEfqr
72,"Great to be in Ohio, leaving now for Wisconsin. See you in a little while! https://t.co/jglAVPFzmR"
73,"THANK YOU OHIO! #VOTE 
https://t.co/5EJjFZVLHZ"
74,Just landed in Ohio. See you in a little while!
75,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!"
76,AMERICA FIRST!
77,MAKE AMERICA GREAT AGAIN!
78,Joe Biden = Biggest Tax Increase In History and The Complete Obliteration Of Your Second Amendment!
79,https://t.co/pEPeLiP7RX
80,"RT @realDonaldTrump: For years, Joe Biden fought to cut your Social Security and Medicare—a fact which Joe falsely denied last night. This…"
81,Debate Poll Average: 89% Trump. 11% Sleepy Joe Biden!
82,RT @KatrinaPierson: 🤣🤣🤣 TRUMP 2020 🇺🇸
83,RT @realDonaldTrump: Thank you Megyn!
84,"RT @DonaldJTrumpJr: Yesterday @realDonaldTrump granted Duke Tanner clemency after 16 years in prison

He was sentenced to LIFE in prison fo…"
85,"RT @PressSec: President @realDonaldTrump makes it look easy, but you cannot overstate the historic WINS he has achieved on the world stage!…"
86,"RT @TommyHicksGOP: .@realDonaldTrump is fighting to make sure ALL Americans have the chance to succeed.

Black prison rates are the lowest…"
87,An Apprentice Champion. Check out his very interesting new book! https://t.co/oal3j9jar8
88,RT @piersmorgan: I call him Mr President out of respect for the office he holds.
89,"Quick stop in North Carolina with a wonderful Indian Tribe, and guests. Then off to two BIG Rallies in Ohio and Wisconsin. See you later!!!"
90,Trump Predicts 35% Growth in Q3 -- ‘We‘re Coming Back Stronger‘ https://t.co/vpHoFoeYG0 via @BreitbartNews Would be biggest ever!
91,Pence: Voters Know Biden and Harris ‘Are Going to Pack the Court‘ https://t.co/GCJ8LSBvWm via @BreitbartNews. With the Radical Left. Can’t let this happen. VOTE!
92,Presidential Promises Kept: Justice Barrett Will Fairly Apply and Honor the Law for Decades https://t.co/fgBFldfVlc via @BreitbartNews
93,"Trump: Biden Works for Big Tech, Big Media — They Keep Scandals Quiet https://t.co/GddS9YvM41 via @BreitbartNews"
94,"#VoteEarlyDay #MAGA🇺🇸
https://t.co/gsFSghkmdM"
95,Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews
96,https://t.co/OBPF6cbxuc
97,RT @GOPChairwoman: Joe Biden would put 19 million American jobs on the chopping block with his radical energy agenda! https://t.co/s4AyS9aB…
98,"RT @GOPChairwoman: .@realDonaldTrump is the fighter we elected in 2016, and when we reelect him for four more years, the best is yet to com…"
99,"RT @NRSC: 🚨 New NRSC ad in #MISen

@GaryPeters' radical left policies would hurt Michiganders. If Peters wins, Michigan loses. https://t.co…"
100,"RT @AKnowles93: 🚨Help us win BIG in Michigan🚨

✅ sign up for our youth deployment

✅ GOTV for @POTUS &amp; @JohnJamesMI 

✅ save America from s…"
101,https://t.co/Dw4zuqXURT
102,"RT @GOPChairwoman: Entering Oct:                              
✅Obama ‘12   149.1M
✅Hillary ‘16:   165.0M
✅Trump ‘20:   251.6M
Trump has ra…"
103,RT @GOPChairwoman: Everyone go vote early in person.  https://t.co/Zp6q1CoEhw
104,https://t.co/8m0dNPTtt6
105,"The Fake News is talking about CASES, CASES, CASES. This includes many low risk people. Media is doing everything possible to create fear prior to November 3rd. The Cases are up because TESTING is way up, by far the most, and best, in the world. Mortality rate is DOWN 85% plus!"
106,JUST VOTED. A great honor!
107,"Our Economy is doing great, and is ready to set new records - best ever (Again!). Biden will destroy everything with his massive Tax Increases. Don’t let it happen!!!"
108,"RT @marklevinshow: Donald Trump the most pro-Jewish president
https://t.co/4lXrPHm8h8"
109,"RT @marklevinshow: Did Joe Biden just say we have a good relationship with Hitler at one point?  No we did not, Joe."
110,RT @TomFitton: @realDonaldTrump Stahl's ignorance of the spying on @realDonaldTrump is shocking.
111,RT @marklevinshow: Video of Biden saying he would eliminate fracking
112,RT @marklevinshow: The president nailed Biden over and over again about his 47-year career and failure to accomplish so much of what Biden…
113,"RT @marklevinshow: The corrupt Biden family
https://t.co/Q85tCNl7jL"
114,Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews Wisconsin would be badly hurt because Biden would definitely end Fracking. No more Sand Mine usage!
115,"RT @marklevinshow: Another terrific Trump foreign policy accomplishment
https://t.co/587vGWq49G"
116,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSgh2KPc https://t.co/kNuIW02Dfc"
117,"...I could not sit by and watch THEM take advantage of YOU anymore. They are coming after me because I am standing in their way, and standing guard for this Country we LOVE!"
118,"...For years, I watched one betrayal after another, as politicians like Joe Biden sold out American Workers at every turn—shattering the lives of millions of American families while THEIR families raked in millions of dollars..."
119,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place..."
120,"For years, Joe Biden fought to cut your Social Security and Medicare—a fact which Joe falsely denied last night. This video (Joe Biden’s own words) was created by Bernie Sanders earlier this year to expose Joe Biden’s atrocious record and egregious lies! https://t.co/womMTc70RP"
121,https://t.co/Uh2m7UacbA
122,"Thank you Pensacola, Florida! Together, we are going to Make America Great Again! https://t.co/9V1MRACmMP"
123,"THANK YOU to all of the Great American Patriots in The Villages, Florida! #MAGA https://t.co/CNEVwNroVE"
124,https://t.co/LCQcdlRkhz
125,https://t.co/4V7nu5hh8V
126,https://t.co/CGlqRmhTV4
127,"On the 37th anniversary of the horrendous attack on our United States Marines, Sailors, and Soldiers in Beirut, we honor the 241 heroes who lost their lives that day. We will NEVER forget them. Semper Fi!"
128,https://t.co/S4Hl0i6Qdp
129,"Joe Biden’s response to the H1N1 Swine Flu, far less lethal than Covid 19, was one of the weakest and worst in the history of fighting epidemics and pandemics. It was pathetic, those involved have said. Joe didn’t have a clue!"
130,RT @DrMarcSiegel: My new book separates FACT from FICTION in the Covid-19 Epidemic. COVID: The Politics of Fear and the Power of Science is…
131,"Biden said he is going to “transition out of (fracking) by 2025”. I hope Texas, Pennsylvania, Ohio, Oklahoma, North Dakota, and all of the rest were listening last night. High energy prices, massive jobs losses! Vote Trump."
132,"Joe Biden was very disrespectful to President Obama at last night’s debate when he said that he, Joe, “was Vice President, not President,” when trying to make excuses for their failed immigration policies. I wonder what “O” was thinking when he heard that one?"
133,"RT @IvankaTrump: Yesterday @realDonaldTrump granted Duke Tanner clemency after 16 years in prison.

Duke was sentenced to life in prison fo…"
134,"Today is the LAST DAY to register to VOTE in-person, in the Great State of Nebraska! Get everything you need to cast your vote and MAKE AMERICA GREAT AGAIN, below! https://t.co/WwzdPhDkAZ"
135,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc"
136,"RT @TheRightMelissa: Joe Biden just lost Texas, Pennsylvania, Oklahoma, Ohio, Alaska trying to follow AOC + 3’s plan on energy. #TRUMP2020L…"
137,RT @TheRightMelissa: I guarantee it was the 1st time millions of Americans learned the “kids in cages” was Obama not Trump because the medi…
138,Thank you Megyn! https://t.co/sC71EEWIOd
139,11 DAYS! #MAGA https://t.co/PuqeF1ctDs
140,https://t.co/gsFSghkmdM
141,https://t.co/cC37vJYagA
142,https://t.co/4qwCKQOiOw
143,https://t.co/VlEu8yyovv
144,https://t.co/z5CRqHO8vg
145,https://t.co/TQCQiDrVOB
146,"RT @trish_regan: Absolutely OUTSTANDING job  by the President tonight. He was measured, precise and convincing. 

Biden was typical politic…"
147,RT @kevinomccarthy: .@RealDonaldTrump has the ball and @JoeBIden can’t run out the clock. A #RedWave is coming “big guy.” #Debates2020 http…
148,RT @EricTrump: https://t.co/NcrNdOSfIV
149,RT @EricTrump: https://t.co/XtsdJVi90q
150,"RT @HeyTammyBruce: All night, @realDonaldTrump has been sharp, clear, in charge of the issues. This is a man who ran to be POTUS because he…"
151,RT @KellyannePolls: .@realDonaldTrump loves his job &amp; showed it tonight. He was hopeful &amp; optimistic; @joebiden negative &amp; backward-looking…
152,"RT @dbongino: This is not a win for Trump, it’s a complete annihilation. 
Biden hasn’t had one good moment and has been crushed on every qu…"
153,"RT @AndrewCMcCarthy: Trump won the night on points. But Trump wins tomorrow big when they roll the tape on fracking, oil, Russian disinform…"
154,"RT @NRA: President @realDonaldTrump won the debate!

""Why didn't you do that four years ago, @JoeBiden... I ran because of you because you…"
155,"RT @seanmdav: Biden's message tonight at the debate was pretty simple: he'll lock down the entire country, raise taxes, and destroy the U.S…"
156,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/C6HRtPW4Mz
157,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi"
158,RT @marklevinshow: President Trump was outstanding.  I couldn't be prouder.  Biden was making faces and was very dishonest about some of hi…
159,"RT @RealRLimbaugh: Winning, winning, winning! @realDonaldTrump"
160,"RT @megynkelly: Trump won this debate, handily. Biden wasn’t a force at all. Trump was substantive, on-point, well-tempered. Definitely hel…"
161,"RT @RandPaul: I don’t know why @JoeBiden thinks he can continue to lie about this. 

He wants to ban fracking and end all fossil fuels like…"
162,"RT @EliseStefanik: President @realDonaldTrump excels at communicating directly to the American people. 

Joe Biden communicates to the DC B…"
163,RT @BuckSexton: Trump won the debate. This one wasn’t close.
164,RT @ScottAdamsSays: Solid debate. Trump won.
165,"RT @DanCrenshawTX: President Trump won the debate. 

As for Joe, get ready for a good fact check tomorrow!"
166,"RT @JudiciaryGOP: Hunter Biden’s emails are NOT Russian disinformation. 

They are real. 

Period."
167,RT @DanScavino: Getting ready to depart Tennessee! #Debates2020 https://t.co/qMNAxiInzo
168,"RT @MarkMeadows: Tonight on stage, you saw a President who has accomplished more in 47 months than the politician on the other side has eve…"
169,Here you go @JoeBiden! https://t.co/UBqPJT85Pt
170,"RT @TeamTrump: LIVE: Presidential Debate #Debates2020

Text VOTE to 88022 https://t.co/UeQOquVxR2"
171,Just signed an order to support the workers of Delphi Corporation and make sure that we protect the pensions of all American workers! Obama-Biden FAILED American workers and FAILED the workers of Delphi. I ALWAYS put American workers FIRST!
172,Suburban women want Safety &amp; Security. Joe Biden cannot give that to anyone! https://t.co/NWSZ5tGz5E
173,"Just left the White House for the Great State of Tennessee! 
https://t.co/s2ScYMTN9l"
174,Wow. Today’s @nypost story on Joe Biden’s corruption is a monster. Many witnesses to a crime against our Country. This isn’t going away. Even the Lamestream Media is starting to say it must be covered!
175,Biden wants to Pack the Court with Radical Left crazies. He doesn’t even want to make a list to explain who they are. Can’t let this happen!
176,"Finally! Suburban women are flocking over to us. They realize that I am saving the Suburbs - the American Dream! I terminated the Regulation that would bring projects and crime to Suburbia. Not on my watch! Biden will bring the Regulation back, but bigger and worse."
177,"Obama is campaigning for us. Every time he speaks, people come over to our side. He didn’t even want to endorse Sleepy Joe. Did so long after primaries were over!"
178,"Look at the bias, hatred and rudeness on behalf of 60 Minutes and CBS. Tonight’s anchor, Kristen Welker, is far worse! #MAGA 
https://t.co/ETDJzMQg8X"
179,"Really good polling numbers as people realize all that we have done. Rasmussen Approval Rating, just out, 52%. Approval Rating in the Republican Party, 96%. Thank you!"
180,Judiciary Committee approves Judge Barrett. Moves to full Senate for final vote. Big day for America!
181,".@FoxNews Polls are totally FAKE, just like they were in 2016. I am leading in all of the states mentioned, which you will soon see. I thought Fox was getting rid of its pollster. Sadly, it never happened!"
182,....to be around to vote for President Trump.” Over 300 wins and 2 National Championships. Thank you to Florida State for giving us Bobby Bowden!
183,"The GREAT Bobby Bowden, one of the best coaches EVER in College Football, on his full recovery from Covid-19 “....America is the greatest country this side of heaven. I’ve had a chance to get a lot of wins in my life, but I really wanted to win this one because I wanted...."
184,"I will soon be giving a first in television history full, unedited preview of the vicious attempted “takeout” interview of me by Lesley Stahl of @60Minutes. Watch her constant interruptions &amp; anger. Compare my full, flowing and “magnificently brilliant” answers to their “Q’s”. https://t.co/L3szccGamP"
185,Virginia! https://t.co/RNKJNCSkrZ
186,Depression! https://t.co/WhPPdrze4B
187,"Ratcliffe: Iran and Russia Have Obtained Voter Info, Iran Has Tried to ‘Damage President Trump‘ https://t.co/8DVFoD5CTc via @BreitbartNews"
188,"I am not just running against Biden, I am running against the Corrupt Media, the Big Tech Giants, and the Washington Swamp. It is time to send a message to these wealthy liberal hypocrites by delivering Joe Biden a THUNDERING defeat on November 3rd! #MAGA https://t.co/gsFSgh2KPc https://t.co/eRRgjnhyIi"
189,"I did more in 47 months than Biden did in 47 years. A VOTE for Republicans is a VOTE for SAFE communities, great JOBS, and a limitless FUTURE for ALL AMERICANS! https://t.co/gsFSgh2KPc https://t.co/A7GSc2ET9c"
190,"For years you had a President who apologized for America—now you have a President who is standing up for America, and standing up for YOU. So get your friends, get your family, get your neighbors and co-workers, and GET OUT AND VOTE. Together, we are going to #MAGA! https://t.co/1EscDM2EuN"
191,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSghkmdM"
192,"The first thing Washington Democrats will do if Biden is elected is pack the Supreme Court with radical left judges who will eliminate your 2nd Amendment.
https://t.co/hcEZcys5cn"
193,"The Radical Biden-Harris Agenda is projected to slash the typical American’s income by $6,500 per year. They will raise TAXES by $4 TRILLION DOLLARS – triggering a mass exodus of jobs out of America and into foreign countries. 
https://t.co/pUVreuusxz"
194,"THANK YOU NORTH CAROLINA!
https://t.co/O3m7HWVlcq"
195,My great honor! https://t.co/Ppcl3fHKKS
196,"RT @TeamTrump: TONIGHT: Watch President @realDonaldTrump's Remarks from Gastonia, North Carolina at 7:00 pm ET!

RSVP: https://t.co/uLvCC4G…"
197,"Exclusive: Forgotten by Obama-Biden Auto Bailout, Delphi Workers Refuse to Forget What Was Taken from Them (Part One) https://t.co/T8SME62Vb4 via @BreitbartNews Biden was a disaster on this. All talk and no action. Remember and VOTE!"
198,Multiple Pro-Trump Demonstrations Planned in Cincinnati Area https://t.co/jjMeB9Hba0 via @BreitbartNews
199,Pennsylvania Trump Voters Show Passion: ‘He‘s a Man that Wants to Do It All for America‘ https://t.co/1oYXtzAyhT via @BreitbartNews
